zotero_key,item_type,title,creators,date,publication_title,publisher,doi,url,abstract,all_tags,all_collections,validity_status,is_valid
K7QDDVV8,webpage,What is SDLC? - Software Development Lifecycle Explained - AWS,,2025-7-18,,,,https://aws.amazon.com/what-is/sdlc/,"What is SDLC how and why businesses use SDLC, and how to use SDLC with AWS.",Non-academic; source: perplexity,Non-academic,non-academic,False
KGF4AZ39,webpage,Evolution of Software Development Life Cycle (SDLC) Models,,,,,,https://www.linkedin.com/pulse/evolution-software-development-life-cycle-sdlc-models-abhay-reddy,"Software Development Life Cycle (SDLC) is the process of planning, developing, testing, deploying, and maintenance of software systems. The goal is to create and deploy high-quality software that meets customers’ needs and is completed within cost and time estimates.",Non-academic; source: perplexity,Non-academic,non-academic,False
95E59D83,webpage,Sustainable ICTs in the Digitised University | Digital Humanities,"University of, Exeter",,,,,https://www.exeter.ac.uk/research/digitalhumanities/projects/sustainable-icts/,,Non-academic; Not-relevant; source: perplexity,Non-academic,non-academic,False
TC45H4H8,webpage,"End-of-Life Software: Definition, Management, & Best Practices | NinjaOne",,,,,,https://www.ninjaone.com/blog/end-of-life-software-management/,Looking for the best end-of-life software strategies? Learn how to upgrade and migrate your systems efficiently with these best practices.,Non-academic; source: perplexity,Non-academic,non-academic,False
BHPY8GPF,webpage,What End-of-life Software Means for Your Business | UpGuard,,2025-5-23,,,,https://www.upguard.com/blog/end-of-life-software,Software with an end-of-life finding can lead to security vulnerabilities in your technical stack. Identify risks and coordinate updates for EOL software.,Non-academic; source: perplexity,Non-academic,non-academic,False
7482HZG9,presentation,An Application Footprint Reference Set: Tracking the Lifetime of Software,"Mary, Laamanen; John, Tebbutt",,,,,,,Not-relevant; source: perplexity,Not-relevant,not-relevant,False
LC643YDB,report,Open Science for Global Benefit: G7 Science Ministers’ Communiqué (Sendai 2023),"G7, Science; Technology, Ministers",2023,,,,https://www8.cao.go.jp/cstp/kokusaiteki/g7_2023/230513_g7_communique.pdf,"The 2023 G7 S&T Ministers underscore open science as critical for tackling global challenges. They endorse FAIR data and software, call for improved infrastructure interoperability, and support recognition of diverse outputs in research evaluation. While software is not named explicitly, it is included in references to 'FAIR digital objects' and open research outputs.",FAIR principles; G7; Not-relevant; global collaboration; open science; policy communiqué; source: ChatGPT-DR,Not-relevant,not-relevant,False
IPKSD5VX,webpage,Software Infrastructure for Sustained Innovation (SI2) Program Solicitations and Overview,National Science Foundation,2011,,,,https://www.nsf.gov/pubs/2011/nsf11589/nsf11589.htm,"These solicitations established a funding pathway for research software at various scales (e.g., Conceptualization Awards, Implementation Awards, Scientific Software Integration). The SI2 program formalized NSF's commitment to sustaining software as part of the broader cyberinfrastructure, emphasizing ongoing maintenance, community building, and robust engineering practices.",NSF; Not-relevant; SI2; funding pathways; software infrastructure; source: ChatGPT-DR; sustainability,Not-relevant,not-relevant,False
CTUJGSKM,webpage,ARDC Research Software Program and Sustaining Research Software Project,"Australian Research Data, Commons (ARDC)",2020,,,,https://ardc.edu.au/our-work/research-software-program/,"ARDC's program supports national efforts to recognize and sustain research software in Australia. It funds select at-risk software tools and develops guidelines for software publishing and maintenance, emphasizing open-source principles, containerization, and stable governance models. Part of Australia’s broader eResearch strategy and alignment with FAIR, open science.",ARDC; Australia; Not-relevant; eResearch; open-source; research software; source: ChatGPT-DR; sustainability program,Not-relevant,not-relevant,False
3KYT9BWV,report,COVID-19 Open Science Guidelines (Software Section),"Research Data, Alliance (RDA)",2020,,,,https://doi.org/10.15497/rda00052,"During the COVID-19 pandemic, the RDA issued rapid guidelines for sharing data and software openly to accelerate research. The software section emphasizes open licensing, clear documentation, containerization, and use of established repositories for code. These measures aim to improve reproducibility, collaboration, and trust in emergent scientific outputs during crisis response.",COVID-19; Not-relevant; RDA; open science; reproducibility; software guidelines; source: ChatGPT-DR,Not-relevant,not-relevant,False
