Tool_Name_Raw,Tool_Name_Standardised,LLM_Service,LLM_Model,Harness,Run_Quality,Journal,Article_Title,Article_Authors,Issue_Number,Year,URL_DOI,Discovery_Context,Sheet_Name,Additional_Notes,Verification_Status,Extraction_Completeness
FAIMS,FAIMS,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),sample,Multiple (sample run),,,,,https://github.com/FAIMS,Primary,FullDetail - Sample Run 1,Federated Archaeological Information Management System,CONFIRMED,PARTIAL
Heurist,Heurist,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),sample,Multiple (sample run),,,,,https://code.google.com/p/heurist/,Primary,FullDetail - Sample Run 1,Heurist Database System for Humanities and Archaeology,CONFIRMED,PARTIAL
stratigraphr,stratigraphr,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),sample,Multiple (sample run),,,,,,Primary,FullDetail - Sample Run 1,Tool for creating stratigraphic diagrams,CONFIRMED,MINIMAL
ArchAIDE,ArchAIDE,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),sample,Multiple (sample run),,,,,Closed-source,Primary,FullDetail - Sample Run 1,Archaeological Archive/Digital Edition tool,CONFIRMED,PARTIAL
ARCHIS,ARCHIS,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),sample,Multiple (sample run),,,,,Closed-source,Primary,FullDetail - Sample Run 1,Legacy Archaeological Information System,CONFIRMED,PARTIAL
iDig,iDig,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),sample,Multiple (sample run),,,,,,Primary,FullDetail - Sample Run 1,Digital archaeological recording system by the American School of Classical Studies at Athens,CONFIRMED,MINIMAL
Gephi,Gephi,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),sample,Multiple (sample run),,,,,https://github.com/gephi/gephi,Primary,FullDetail - Sample Run 1,Open-source network analysis and visualization tool; Corrected from MISATTRIBUTED: successful metadata evaluation confirms research tool status (Gephi),CONFIRMED,PARTIAL
Bwigg,Bwigg,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),sample,Multiple (sample run),,,,,,Primary,FullDetail - Sample Run 1,"Confirmed via cross-reference - Bayesian radiocarbon wiggle-matching software (Christen, IA issue 13). Discovery lacked source attribution.",CONFIRMED,MINIMAL
Arch-I-Scan,Arch-I-Scan,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),sample,Multiple (sample run),,,,,,Primary,FullDetail - Sample Run 1,In metadata - archaeological pottery identification system using image recognition,CONFIRMED,MINIMAL
SAGAscape,SAGAscape,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),sample,Multiple (sample run),,,,,,Primary,FullDetail - Sample Run 1,Spatial analysis tool for archaeological landscapes,CONFIRMED,MINIMAL
